"model","term","n","events","HR","CI95_low","CI95_high","p"
"cox_axis_continuous","axis_score",502,182,1.46320509154523,1.23951409148336,1.72726486502604,6.90693491680466e-06
"cox_axis_median","axis_group_medianhigh",502,182,1.79765182764602,1.33488615252313,2.42084471947738,0.000112439697906358
"cox_risk_immune","risk_score",502,182,1.71202183580251,1.33853028465485,2.18972913789575,1.85182378507433e-05
"cox_risk_immune","immune_score",502,182,0.719839778162712,0.603245382291311,0.858969370403098,0.000266193724439186
"cox_axis_no_stat1","axis_score_no_STAT1",502,182,1.33349811846792,1.15576386273971,1.53856448474022,8.03150193318228e-05
"cox_axis_alt_immune","axis_score_alt_immune",502,182,1.44820848349031,1.21817141764103,1.72168529098697,2.71536783353613e-05
"cox_axis_adjusted_age_gender_stage","axis_score",484,177,1.37329815375563,1.15207844173216,1.63699601589027,0.000400662923272504
"cox_axis_adjusted_age_gender_stage","age",484,177,1.01133130631983,0.995942407089624,1.02695798859636,0.149795086487089
"cox_axis_adjusted_age_gender_stage","genderMALE",484,177,0.95999974160686,0.709680100131033,1.29861257729374,0.791140250155356
"cox_axis_adjusted_age_gender_stage","stage_groupII",484,177,2.18262079925618,1.50563389636238,3.16400525044975,3.78887224201144e-05
"cox_axis_adjusted_age_gender_stage","stage_groupIII",484,177,2.93610740729553,1.99194127418793,4.32780163696852,5.2924730098198e-08
"cox_axis_adjusted_age_gender_stage","stage_groupIV",484,177,3.27078483340875,1.85742937044252,5.7595909684081,4.04756348460395e-05
